N Pedido;Nmero de parte;Fecha de pedido;Proveedor;Nombre del proveedor;Cant. del Pedido;Cantidad recibida;presupuesto pedido;presupuesto pendiente ;Estado Pedido;Descripcion del articulo
17199;2137312000;04-01-2023;76956140-4;Ethon Pharmaceuticals Ltda.;4000;4000;$7.696.920;$0;Completado;AMPICILINA SULBACTAM 1 5G
17200;2160022000;04-01-2023;96981250-9;PFIZER CHILE S.A.;2160;2160;$10.487.232;$0;Completado;FRAGMIN 5000 UI  DALTEPARINA 
17201;2161200000;04-01-2023;76956140-4;Ethon Pharmaceuticals Ltda.;40;40;$80.920;$0;Completado;FLUMAZENIL 0.5 MG 5 ML
17202;3459993640;04-01-2023;83001500-0;IMPORTADORA HELICO LTDA.;10;10;$2.261.000;$0;Completado;FRESA MOTOR MIDAS REF.F2 8 TA23  NEUROCIRUGIA 
17203;2162160007;04-01-2023;76328242-2;ASPEN Chile S.A;60;60;$407.980;$0;Completado;FONDAPARINUX SODICO 7.5
17204;90000619;04-01-2023;79744580-0;Blunding S.A.;25000;25000;$4.611.250;$0;Completado;PECHERA CON MANGA DESECHABLE
17205;2259963960;04-01-2023;81210400-4;Reutter SA;20000;20000;$1.132.880;$0;Completado;GUANTE NITRILO S P PROCED.
17206;2141910000;04-01-2023;76956140-4;Ethon Pharmaceuticals Ltda.;600;600;$12.852;$0;Completado;METAMIZOL SOD. 300 MG
17207;3459993642;04-01-2023;83001500-0;IMPORTADORA HELICO LTDA.;8;8;$1.808.800;$0;Completado;FRESA OLIVA MIDAS 6.0MM X 7.7MM  REF 9AC60 
17208;3459043975;04-01-2023;83001500-0;IMPORTADORA HELICO LTDA.;8;8;$1.808.800;$0;Completado;FRESA MOTOR MIDAS REF.9AC75  NEUROCIRUGIA 
17209;27000052;04-01-2023;83535000-2;HALES HERMANOS Y CIA LTDA;125;125;$889.525;$0;Completado;SABANILLA 1.60X1.80 CREA VERDE
17209;20000061;04-01-2023;83535000-2;HALES HERMANOS Y CIA LTDA;500;500;$2.856.000;$0;Completado;SABANA BLANCA 1.80 X 2.40 CREA POLYGAL
17210;29666909;04-01-2023;96625950-7;TECNIKA S.A.;96;96;$1.519.392;$0;Completado;PACK ROPA UNIVERSAL ESTERIL  DESECHABLE 
17211;2170000024;04-01-2023;78233420-4;Hospitalia Productos Medicos Ltda.;6000;480;$13.566.000;$12.480.720;Abierto;Soluci n T pica Clorhexidina 2  100 ml frasco
17212;2136643626;04-01-2023;61608604-9;Hospital Clinico San Borja Arriarian;20;20;$2.546;$0;Completado;DOSIS COMBIN. DIARIA ETAMB PIPERAC RIFAMP ISONIAZI
17212;2137305000;04-01-2023;61608604-9;Hospital Clinico San Borja Arriarian;100;100;$23.800;$0;Completado;RIFAMPICINA 150 MG
17213;2174700000;04-01-2023;76956140-4;Ethon Pharmaceuticals Ltda.;450;60;$1.656.837;$1.435.925;Abierto;LIDOCAINA CLORH. 4  GEL 15 GM
17214;2144910000;04-01-2023;76956140-4;Ethon Pharmaceuticals Ltda.;20000;1300;$428.400;$400.554;Abierto;L TIROXINA 100 MCG
17215;2249512752;04-01-2023;76137142-8;SOCIEDAD DISTRIBUIDORA Y COMERCIAL GLIOCORP S.A.;60;60;$1.606.500;$0;Completado;HEMOSTATICO ABSORBIBLE SURGICELL FIBRILAR
17216;2142140031;04-01-2023;76133312-7;LABORATORIOS HOSPIFARMA CHILE LIMITADA;120;120;$112.812;$0;Completado;TICAGRELOR 90 MG
17217;2160496000;04-01-2023;91546000-3;LABORATORIO SANDERSON SA;200;200;$71.400;$0;Completado;BUPIVACAINA 0.5O   10 ML
17218;2127300000;04-01-2023;76231844-K;ACCION GRAFICA PUBLICITARIA SPA;390;390;$1.809.990;$0;Completado;RECETA ESTUPEF. Y PSICOTROP.
17219;2252250030;04-01-2023;78233420-4;Hospitalia Productos Medicos Ltda.;50;50;$1.130.500;$0;Completado;MANGA DE COMPRESION M PROFILAXIS TROMBOSIS MAQUINA
17220;50000033;04-01-2023;76030456-5;COM. GRAFICA VERGARA MORENO Y CIA LTDA;300;300;$874.650;$0;Completado;BLOCK PEDIDO ENTREGA BODEGA 50 4 E F
17221;3459043314;04-01-2023;83001500-0;IMPORTADORA HELICO LTDA.;5;5;$1.130.500;$0;Completado;FRESA MOTOR MIDAS REF.14BA40  COLUMNA 
17222;90001085;04-01-2023;77437250-4;SERVICIOS DE ADMINISTRACION Y VENTAS WORKFLOW CHIL...;6000;6000;$1.063.860;$0;Completado;BOLSA CARAMELO 70 X 90 PAQUETE 10 UD.
17223;90001002;04-01-2023;77437250-4;SERVICIOS DE ADMINISTRACION Y VENTAS WORKFLOW CHIL...;12000;12000;$3.113.040;$0;Completado;BOLSA AMARILLA 70X90 RESIDUOS ESPECIALES
17224;90000684;04-01-2023;77437250-4;SERVICIOS DE ADMINISTRACION Y VENTAS WORKFLOW CHIL...;6000;6000;$2.170.560;$0;Completado;BOLSA COLOR AMARILLO 80 O 90 X 110
17225;90090034;04-01-2023;77437250-4;SERVICIOS DE ADMINISTRACION Y VENTAS WORKFLOW CHIL...;6000;6000;$1.485.120;$0;Completado;BOLSA ALMACENAJE CARAMELO 80X110CM USO EN ROPA
17226;99600792;04-01-2023;76202065-3;MG PUBLICIDAD Y EVENTOS SPA;24000;24000;$1.408.008;$0;Completado;BOLSA NEGRA DE BASURA 80X110 CM APROX X UNIDAD
17226;90000536;04-01-2023;76202065-3;MG PUBLICIDAD Y EVENTOS SPA;24000;24000;$2.213.400;$0;Completado;BOLSA NEGRA 70X90  EN UNIDADES
17227;3459993747;04-01-2023;77783690-0;DOLPHIN MEDICAL SpA;50;50;$1.752.275;$0;Completado;PINZA HOOK LAPAROSCOPIA
17228;9009695087;04-01-2023;76754308-5;DR. REDDYS LABORATORIES CHILE SPA;1;1;$98.770;$0;Completado;DAPTOMICINA 500 MG
17229;3406265606;04-01-2023;76112212-6;Equipos Medicos Zepeda y Cia. Ltda.;6;6;$1.093.205;$0;Completado;SONDA PARA GAS ARGON
17230;3473470097;04-01-2023;76795536-7;INVERSIONES MIT SPA;6;6;$464.100;$0;Completado;CANASTILLO EXTRACCION  APERTURA 30 MM ENDOSC
17231;3403400002;04-01-2023;87590600-3;Comercializadora Terumo Chile Ltda.;20;20;$214.200;$0;Completado;INTRODUCTOR FEMORAL 5 FR X 10 CM 
17232;2180000002;04-01-2023;91546000-3;LABORATORIO SANDERSON SA;500;500;$351.050;$0;Completado;AGUA DESTILADA 1000 ML
17233;2189991927;04-01-2023;91546000-3;LABORATORIO SANDERSON SA;500;500;$624.750;$0;Completado;RINGER LACTATO 1000 ML.
17234;3473470120;05-01-2023;79895670-1;PV EQUIP SA;2;2;$4.522.000;$0;Completado;Unidad de M dulo con compatibilidad RD  SEDLINE 
17235;2169023000;05-01-2023;76084945-6;GADOR LIMITADA;1500;1500;$1.517.250;$0;Completado;NOREPINEFRINA 4 MG  4ML
17236;2440000297;05-01-2023;76036479-7;Alatheia Medical S.A.;3;3;$669.375;$0;Completado;MONKEYPOX VIRUS REAL TIME PCR REAGENT
17236;2440000298;05-01-2023;76036479-7;Alatheia Medical S.A.;15;15;$5.140.800;$0;Completado;OPTIPURE VIRAL AUTO PLATE
17237;3470000214;05-01-2023;77009405-4;BOSTON SCIENTIFIC CHILE SPA;12;12;$1.713.600;$0;Completado;PAPILOTOMO LATERAL DE ARCO
17238;2160000950;05-01-2023;94544000-7;MEGALABS CHILE S.A.;200;200;$98.770;$0;Completado;PARGEVERINA  ANTIESPASMODICO SIMPLE 
17239;2257243000;05-01-2023;76592530-4;Flexing Chile SPA;50000;50000;$2.546.600;$0;Completado;GUANTE VINILO GRANDE
17240;2180000980;05-01-2023;91546000-3;LABORATORIO SANDERSON SA;300;100;$2.463.300;$1.642.200;Abierto;HIDROXIETIL ALMIDON 6   500 ML
17241;2257240000;05-01-2023;76592530-4;Flexing Chile SPA;100000;100000;$5.093.200;$0;Completado;GUANTE VINILO MEDIANO
17242;2259963963;05-01-2023;77478120-K;FRESENIUS KABI CHILE LIMITADA;312;312;$3.230.136;$0;Completado;BOLSA SANGRE CUADRUPLE 300 500 ML
17243;2250000036;05-01-2023;81210400-4;Reutter SA;3000;3000;$6.640.200;$0;Completado;APOSITO GASA 20X1.5 MT ESTERIL ENV. MIXTO
17244;2250000032;05-01-2023;81210400-4;Reutter SA;15000;15000;$5.158.650;$0;Completado;APOSITO GASA 20X25   20X30 ESTERIL
17245;3400009119;05-01-2023;77237150-0;COMERCIAL KENDALL  CHILE  LTDA;200;42;$1.380.400;$1.090.516;Completado;CORCHETERA PIEL
17246;2249963970;05-01-2023;77342295-8;ALCO MEDICAL SPA;3;3;$1.679.685;$0;Completado;DURAGEN LIOFILIZADO  NO SINTETICO  7 5 X 7 5 cmt
17247;2257480010;05-01-2023;76592530-4;Flexing Chile SPA;48000;15500;$12.509.280;$8.469.825;Abierto;GUANTE QUIR. ESTERIL N  8
17248;2255583000;05-01-2023;96756540-7;B.BRAUN MEDICAL SpA;300;300;$3.748.500;$0;Completado;BOLSA RECOLECT. HORARIA DE ORINA
17249;3454261266;05-01-2023;77009405-4;BOSTON SCIENTIFIC CHILE SPA;2;2;$547.400;$0;Completado;CANASTILLO LITOTRIPTOR
17250;2253292664;05-01-2023;96910280-3;BIOCLIN S.A.;200;200;$168.980;$0;Completado;MANGA ENDOSCOPIA
17251;2127300007;05-01-2023;81323800-4;Grunenthal Chilena Ltda.;2400;1000;$2.430.456;$1.417.766;Abierto;TAPENTADOL 100 MG CM REC LIB. PROLONGADA
17252;2620718000;05-01-2023;61601000-K;MINSAL. Subsecretaria de Salud ;500;500;$595;$0;Completado;ALBUMINA HUMANA 20   50 ML
17253;2250000786;05-01-2023;78634170-1;SOC DISTRIBUIDORA COMERCIAL E INVERSIONES LAURA CA...;6;6;$770.406;$0;Completado;SET GASTROSTOMIA PERCUTANEA 24 FR
17254;2242240032;05-01-2023;77237150-0;COMERCIAL KENDALL  CHILE  LTDA;8;8;$1.589.602;$0;Completado;ENDO GIA 45 MM DORADA  REF EGIA45AVM 
17255;2240000371;05-01-2023;93745000-1;JOHNSON Y JOHNSON DE CHILE S A;612;612;$1.696.164;$0;Completado;POLICLACTINA 910 3 0 1 2 20 22 70 ATRAUMATICA
17256;2410000391;05-01-2023;76261586-K;BIOMUNDO SPA.;500;500;$3.837.750;$0;Completado;JERINGA PARA INYECTORA
17257;2410000389;05-01-2023;80447400-5;MUNNICH PHARMA MEDICAL LIMITADA;4000;4000;$2.004.484;$0;Completado;JERINGA BS 2 P P GASES SANGUINEOS 3 ML MC 0028
17258;2249963217;05-01-2023;78566250-4;PRODUCTOS MEDICOS PROMEDON CHILE S A;10;10;$1.832.600;$0;Completado; SUTURA  SUTURA FIBER TAPE
17259;3453450946;05-01-2023;77342295-8;ALCO MEDICAL SPA;10;10;$1.612.450;$0;Completado;BROCAS AUTOESTOP  EASY DRILL Craneal Perforador 
17260;2244560574;05-01-2023;81210400-4;Reutter SA;7250;7250;$1.856.983;$0;Completado;JERINGA DES. EST. 60 CC P CATETER
17261;3405410921;05-01-2023;77237150-0;COMERCIAL KENDALL  CHILE  LTDA;4;4;$809.200;$0;Completado;ELECTRODO VENTRICULAR ACTIVO
17261;3400000217;05-01-2023;77237150-0;COMERCIAL KENDALL  CHILE  LTDA;10;10;$178.500;$0;Completado;INTRODUCTOR ARTERIAL 7 FR X 11
17262;3470000950;05-01-2023;99576080-0;SUR MEDICAL SPA;20;20;$190.400;$0;Completado;VALVULA DE ASPIRACION PARA BRONCOSCOPIO
17263;3473470111;05-01-2023;78634170-1;SOC DISTRIBUIDORA COMERCIAL E INVERSIONES LAURA CA...;4;4;$556.444;$0;Completado;BOTON RECAMBIO GASTROSTOMIA
17264;2176591020;05-01-2023;91575000-1;SOCOFAR S.A.;100;0;$533.715;$533.715;Abierto;SALBUTAMOL SOL. P NEB. 5 MG ML 20 ML
17265;3470000034;05-01-2023;99576080-0;SUR MEDICAL SPA;12;12;$2.941.680;$0;Completado;BALON EXTRACCION TRIPLE LUMEN
17266;3479260754;05-01-2023;77009405-4;BOSTON SCIENTIFIC CHILE SPA;4;4;$380.800;$0;Completado;GUIA HIDROFILICA 0.035 DOBLE PUNTA FLEXIBLE
17267;2249963975;06-01-2023;77237150-0;COMERCIAL KENDALL  CHILE  LTDA;41;41;$1.632.026;$0;Completado; SUTURA  ENDOLOOP DE POLIGLACTINA N  0
17268;2240000379;06-01-2023;93745000-1;JOHNSON Y JOHNSON DE CHILE S A;540;540;$1.011.452;$0;Completado;POLIGLACTINA 910 4 0 3 8 15 20 ATRAUMATICA
17269;2441004199;06-01-2023;76112212-6;Equipos Medicos Zepeda y Cia. Ltda.;2;2;$106.624;$0;Completado;TIRA REACT. P DET. OPA FC X 50 TIRAS
17270;2622620011;06-01-2023;96582310-7;GRIFOLS CHILE S A;38;38;$45.220;$0;Completado;DET. PRUEBAS DE ANTIGLOBULINA DIRECTA
17270;2622620009;06-01-2023;96582310-7;GRIFOLS CHILE S A;38;38;$36.312;$0;Completado;DET. PRUEBA DU Y O D PARCIAL
17270;2622620013;06-01-2023;96582310-7;GRIFOLS CHILE S A;251;251;$238.952;$0;Completado;Reclasificacion ABO RhD Columna  prueba directa 
17270;2622620012;06-01-2023;96582310-7;GRIFOLS CHILE S A;1200;1200;$499.800;$0;Completado;DET. PRUEBAS DE COMPATIBILIDAD
17270;2622620010;06-01-2023;96582310-7;GRIFOLS CHILE S A;980;980;$1.011.095;$0;Completado;DET. DETECCION DE ANTICUERPOS IRREGULARES
17270;2622620006;06-01-2023;96582310-7;GRIFOLS CHILE S A;918;918;$3.678.178;$0;Completado;DET. CLASIF. ABO RH D EN COLUMNA
17270;2622620007;06-01-2023;96582310-7;GRIFOLS CHILE S A;2175;2175;$528.003;$0;Completado;DET. CLASIF. ABO RH D EN TUBO O LAMINA
17271;120180754;06-01-2023;76967556-6;COMERCIALIZADORA TF TODO EXPRESS LIMITAD;270;270;$10.015.060;$0;Completado;LLAVES LAVAMANO MONOMANDO FAS
17271;120188389;06-01-2023;76967556-6;COMERCIALIZADORA TF TODO EXPRESS LIMITAD;270;270;$5.722.813;$0;Completado;LLAVE MONOMADO LAVAPLATO COCINA
17272;3470000004;06-01-2023;77783690-0;DOLPHIN MEDICAL SpA;12;12;$164.220;$0;Completado;AGUJA ESCLEROTERAPIA 21 G X 230 CM
17273;2113505073;06-01-2023;76112212-6;Equipos Medicos Zepeda y Cia. Ltda.;10;10;$475.881;$0;Completado;ORTOOFTALDEHIDO 2  14 DIAS
17274;2240000132;06-01-2023;76035740-5;PE SOLUCIONES INDUSTRIALES LTDA.;19200;19200;$1.028.160;$0;Completado;CONTROL INTERNO V B  PLUS MULTIVARIABLE
17275;90000627;06-01-2023;13940082-8;CARLOS ALBERTO VARGAS CASTILLO ;6000;6000;$57.120;$0;Completado;CARTUCHO DE PAPEL 1 8 KG
17275;90000163;06-01-2023;13940082-8;CARLOS ALBERTO VARGAS CASTILLO ;30000;30000;$392.700;$0;Completado;CARTUCHO DE PAPEL 1 2 KG
17275;90000164;06-01-2023;13940082-8;CARLOS ALBERTO VARGAS CASTILLO ;16000;16000;$171.360;$0;Completado;CARTUCHO DE PAPEL 1 4 KG
17275;90000031;06-01-2023;13940082-8;CARLOS ALBERTO VARGAS CASTILLO ;8000;8000;$190.400;$0;Completado;CARTUCHO DE PAPEL 2 KG
17276;56010484;06-01-2023;9472854-1;MIRNA ELIZABETH GUTIERREZ CONTRERAS;50;50;$332.903;$0;Completado;ROLLO ETIQUET AMARILLA MEDIANO RIESGO CAIDA 700UD
17276;56010483;06-01-2023;9472854-1;MIRNA ELIZABETH GUTIERREZ CONTRERAS;50;50;$332.903;$0;Completado;ROLLO ETIQUETA ROJA ALTO RIESGO CAIDA  700UD APROX
17277;2192190383;06-01-2023;96612620-5;INTERNATIONAL MEDICAL PRODUCTS S A;50;50;$6.342.700;$0;Completado;CATETER DRENAJE MULTIPROPOSITO 8.5 X 25 CM
17278;2259954121;06-01-2023;77478120-K;FRESENIUS KABI CHILE LIMITADA;84;84;$0;$0;Completado;BOLSA FOTOPROTECTORA NUTRICION
17278;2182180005;06-01-2023;77478120-K;FRESENIUS KABI CHILE LIMITADA;84;84;$3.788.484;$0;Completado;NP CENTRAL SKC 1477 ML
17279;29440106;06-01-2023;96625950-7;TECNIKA S.A.;80;80;$1.808.800;$0;Completado;PACK ROPA ARTROSCOPIA DE RODILLA  DESECHABLE 
17280;2522520023;06-01-2023;76215260-6;NEMO CHILE S.A.;29900;29900;$1.814.631;$0;Completado;GASA DENTAL 10X10 CM. 
17281;2249963965;06-01-2023;93745000-1;JOHNSON Y JOHNSON DE CHILE S A;288;288;$1.682.412;$0;Completado;POLIDIOXANONA 1 1 2 37 48 70 ATRAUMATICA
17282;2245138080;06-01-2023;77237150-0;COMERCIAL KENDALL  CHILE  LTDA;11;11;$1.774.350;$0;Completado;STAPLER GIA 80 3.8  REF GIA8038S 
17283;2249963963;06-01-2023;77237150-0;COMERCIAL KENDALL  CHILE  LTDA;972;972;$1.700.320;$0;Completado; SUTURA  AC.POLIGLIC. PLUS 2 0 CT 2 70 CM
17284;3450000141;06-01-2023;79744580-0;Blunding S.A.;28;28;$378.182;$0;Completado;COLLAR CERV. FILADELFIA L
17285;2244051460;06-01-2023;77237150-0;COMERCIAL KENDALL  CHILE  LTDA;10;10;$460.530;$0;Completado;CARGA TA 4.8 60 V TEJ. G  REF TA6048L 
17286;2259650540;06-01-2023;59077290-9;Nipro Medical Corporation Sucursal Chile;2250;2250;$1.850.153;$0;Completado;GASA LARGA 5 UD.X40 C HILO RADIOPACO DOBLE EMPAQUE
17287;2249963962;06-01-2023;77606220-0;SERVICIOS ASESORIAS Y SOLUCIONES FINANCIERAS;1080;1080;$1.837.836;$0;Completado;APOSITO 10 X 1.6 MTS.ESTERIL
17288;3473470122;06-01-2023;96515660-7;CENTRAL DE COMPRAS DEL EXTRASISTEMA S.A.;2;2;$349.860;$0;Completado;PROTESIS PANCREATICA 5 FR. 9 CM 
17289;2180000148;06-01-2023;91546000-3;LABORATORIO SANDERSON SA;500;200;$327.250;$196.350;Abierto;GLUCOSA 30   500 ML
17290;2259963964;06-01-2023;77478120-K;FRESENIUS KABI CHILE LIMITADA;32;32;$4.379.200;$0;Completado;SUMINISTRO PARA REALIZACION DE AFERESIS
17291;2410000790;06-01-2023;61608604-9;Hospital Clinico San Borja Arriarian;2000;2000;$261.800;$0;Completado;TUBO POLIPROP. 3.5 ML T C C CITRATO SODIO
17292;2410000389;06-01-2023;61608604-9;Hospital Clinico San Borja Arriarian;600;600;$292.740;$0;Completado;JERINGA BS 2 P P GASES SANGUINEOS 3 ML MC 0028
17293;2410000790;06-01-2023;92288000-K;Drogueria Hofmann Ltda y Cia en CPA;13500;13500;$1.847.475;$0;Completado;TUBO POLIPROP. 3.5 ML T C C CITRATO SODIO
17294;2410000792;06-01-2023;92288000-K;Drogueria Hofmann Ltda y Cia en CPA;14100;14100;$1.845.690;$0;Completado;TUBO POLIPROP. 3.5 ML T V C HEPARINA LITIO
17295;2120007212;06-01-2023;91546000-3;LABORATORIO SANDERSON SA;700;700;$229.075;$0;Completado;FENTANILO CITRATO 0.1 MG 2 ML
17296;2139925019;06-01-2023;61608406-2;HOSPITAL DEL SALVADOR;30;30;$160.650;$0;Completado;LEVOFLOXACINO 500 FA.
17296;2166430000;06-01-2023;61608406-2;HOSPITAL DEL SALVADOR;100;100;$29.155;$0;Completado;ZINC SULFATO 0
17297;2143570328;06-01-2023;76057555-0;FARMACIAS MANRIQUEZ;360;360;$23.880;$0;Completado;METFORMINA 850 MG
